,Film_ID,Film,Film1,Film2,Film3,Film4,Film5
508,508,A Beautiful Mind ,The Blind Side ,The Social Network ,I Am Sam ,Blue Jasmine ,The Help 
509,509,The Lion King ,The Hunchback of Notre Dame ,Mulan ,The Rugrats Movie ,Finding Nemo ,Rio 
510,510,Journey 2: The Mysterious Island ,Journey to the Center of the Earth ,Zathura: A Space Adventure ,Atlantis: The Lost Empire ,G-Force ,Star Trek III: The Search for Spock 
511,511,Cloudy with a Chance of Meatballs 2 ,G-Force ,Paddington ,Cloudy with a Chance of Meatballs ,City of Ember ,Hop 
512,512,Red Dragon ,The Talented Mr. Ripley ,Panic Room ,Training Day ,Lucky Number Slevin ,Lucky Number Slevin 
513,513,Hidalgo ,The Wolverine ,The Cold Light of Day ,Star Trek III: The Search for Spock ,Lara Croft: Tomb Raider ,A Knight's Tale 
514,514,Jack and Jill ,Grown Ups 2 ,Mr. Deeds ,Bowfinger ,Grown Ups ,The Kid 
515,515,2 Fast 2 Furious ,The Fast and the Furious: Tokyo Drift ,Takers ,Angels & Demons ,"I, Robot ",Ocean's Eleven 
516,516,The Little Prince ,The Croods ,Pete's Dragon ,Rise of the Guardians ,The Ant Bully ,The Lego Movie 
517,517,The Invasion ,The Stepfather ,Battlefield Earth ,Dumb & Dumber ,The Cave ,Project Almanac 
518,518,The Adventures of Rocky & Bullwinkle ,Rugrats Go Wild ,The SpongeBob SquarePants Movie ,The Angry Birds Movie ,Ice Age: Continental Drift ,The SpongeBob Movie: Sponge Out of Water 
519,519,The Secret Life of Pets ,Paddington ,The Angry Birds Movie ,Barnyard ,Daddy Day Care ,The Pirates! Band of Misfits 
520,520,The League of Extraordinary Gentlemen ,Mystery Men ,Batman Forever ,Battlefield Earth ,Lara Croft: Tomb Raider ,After Earth 
521,521,Despicable Me 2 ,Despicable Me ,Minions ,The Secret Life of Pets ,Wreck-It Ralph ,Ice Age: Continental Drift 
522,522,Independence Day ,The Day After Tomorrow ,Independence Day: Resurgence ,The Wolverine ,The Hitchhiker's Guide to the Galaxy ,Star Trek Into Darkness 
523,523,The Lost World: Jurassic Park ,Jurassic Park III ,Jurassic Park ,Battlefield Earth ,Jurassic World ,Transformers 
524,524,Madagascar ,Madagascar 3: Europe's Most Wanted ,Penguins of Madagascar ,Madagascar: Escape 2 Africa ,Bee Movie ,Ice Age: Dawn of the Dinosaurs 
525,525,Children of Men ,Elysium ,Boyhood ,127 Hours ,Blade Runner ,The Butterfly Effect 
526,526,X-Men ,X-Men: Apocalypse ,Superman Returns ,X-Men 2 ,Batman v Superman: Dawn of Justice ,Star Trek Into Darkness 
527,527,Wanted ,The Equalizer ,Face/Off ,Elysium ,Abraham Lincoln: Vampire Hunter ,Red Dragon 
528,528,The Rock ,The Wolverine ,The Kingdom ,Air Force One ,Elysium ,Transformers: Age of Extinction 
529,529,Ice Age: The Meltdown ,Ice Age: Dawn of the Dinosaurs ,G-Force ,Hop ,Bee Movie ,The SpongeBob SquarePants Movie 
530,530,50 First Dates ,Just Go with It ,Click ,Dumb & Dumber ,The Other Woman ,The Love Guru 
531,531,Hairspray ,Zookeeper ,My Big Fat Greek Wedding ,The Lizzie McGuire Movie ,Freaky Friday ,Step Up 2: The Streets 
532,532,Exorcist: The Beginning ,Unfriended ,Stir of Echoes ,Chernobyl Diaries ,"As Above, So Below ",Annabelle 
533,533,Inspector Gadget ,Clockstoppers ,Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,G-Force ,Agent Cody Banks 2: Destination London ,Daddy Day Care 
534,534,Now You See Me ,Angels & Demons ,"I, Robot ",Takers ,Ocean's Eleven ,The Da Vinci Code 
535,535,Grown Ups ,Grown Ups 2 ,Mr. Deeds ,The Incredible Burt Wonderstone ,Big Daddy ,St. Vincent 
536,536,The Terminal ,The Color Purple ,Larry Crowne ,St. Vincent ,Big Fish ,The Social Network 
537,537,Constantine             ,Perception             ,Limitless             ,Twisted             ,The Messengers             ,Secrets and Lies             
538,538,Hotel for Dogs ,Parental Guidance ,Daddy Day Care ,Catch That Kid ,Zookeeper ,Max 
539,539,Vertical Limit ,The Perfect Storm ,The Cave ,Behind Enemy Lines ,The Stepfather ,Star Trek: First Contact 
540,540,Charlie Wilson's War ,Movie 43 ,Argo ,The Big Lebowski ,The Savages ,Milk 
541,541,Shark Tale ,The Angry Birds Movie ,Ice Age: Continental Drift ,The Croods ,Bee Movie ,The Road to El Dorado 
542,542,Dreamgirls ,Ray ,Take the Lead ,You Got Served ,Beyond the Lights ,Burlesque 
543,543,Life             ,Unforgettable             ,Perception             ,The Streets of San Francisco             ,Unforgotten             ,Secrets and Lies             
544,544,Be Cool ,Bowfinger ,Joyful Noise ,The Love Guru ,White Chicks ,Dumb & Dumber 
545,545,Munich ,Arbitrage ,Unfaithful ,Do the Right Thing ,Flags of Our Fathers ,Hitman 
546,546,Tears of the Sun ,Windtalkers ,The Kingdom ,Training Day ,Green Zone ,Courage Under Fire 
547,547,Killers ,The Love Guru ,The Cold Light of Day ,Hope Springs ,Bowfinger ,The House Bunny 
548,548,The Man from U.N.C.L.E. ,After Earth ,Bowfinger ,The Internship ,The Wolverine ,Green Lantern 
549,549,Spanglish ,Larry Crowne ,Click ,Where the Heart Is ,How Do You Know ,The Love Guru 
550,550,Monster House ,The SpongeBob SquarePants Movie ,Paddington ,Atlantis: The Lost Empire ,The Kid ,Cheaper by the Dozen 
551,551,Bandits ,How Do You Know ,Morning Glory ,Where the Heart Is ,Larry Crowne ,The Love Guru 
552,552,First Knight ,The Saint ,Dante's Peak ,The Host ,Black Knight ,DragonHeart 
553,553,Anna and the King ,Morning Glory ,A Lot Like Love ,Charlie St. Cloud ,The Lucky One ,9½ Weeks 
554,554,Immortals ,A Single Man ,Click ,The Age of Adaline ,The Kingdom ,Promised Land 
555,555,Hostage ,Broken Horses ,The Pledge ,Wild Things ,Awake ,The Running Man 
556,556,Titan A.E. ,Atlantis: The Lost Empire ,Star Trek VI: The Undiscovered Country ,Sky Captain and the World of Tomorrow ,Star Trek: Insurrection ,Star Trek III: The Search for Spock 
557,557,Hollywood Homicide ,Torque ,One for the Money ,Hackers ,The Stepfather ,The Cold Light of Day 
558,558,Soldier ,Wah-Wah ,Do the Right Thing ,Green Street 3: Never Back Down ,Event Horizon ,Sliding Doors 
559,559,Carriers ,The Stepfather ,The Roommate ,The Lazarus Effect ,The Cave ,Apollo 18 
560,560,Monkeybone ,An American Carol ,Hollywood Ending ,My Boss's Daughter ,Keeping Up with the Steins ,Phat Girlz 
561,561,Flight of the Phoenix ,Star Trek: First Contact ,Behind Enemy Lines ,Vertical Limit ,Anacondas: The Hunt for the Blood Orchid ,Volcano 
562,562,Unbreakable ,Signs ,"I, Robot ",Angels & Demons ,Knowing ,Lady in the Water 
563,563,Minions ,Despicable Me 2 ,Despicable Me ,The Angry Birds Movie ,Kung Fu Panda ,The Secret Life of Pets 
564,564,Sucker Punch ,47 Ronin ,The Internship ,Ghost Rider: Spirit of Vengeance ,Mystery Men ,Transformers: Age of Extinction 
565,565,Snake Eyes ,Eye See You ,The Untouchables ,Killing Them Softly ,Boiler Room ,Blow Out 
566,566,Sphere ,The X Files: I Want to Believe ,Angels & Demons ,The Mothman Prophecies ,Blue Jasmine ,Apollo 18 
567,567,The Angry Birds Movie ,Ice Age: Continental Drift ,The Secret Life of Pets ,Kung Fu Panda 3 ,Home on the Range ,Kung Fu Panda 
568,568,Fool's Gold ,The Love Guru ,Star Trek: Nemesis ,Killers ,The Saint ,Hollywood Ending 
569,569,Funny People ,The 40-Year-Old Virgin ,The Weather Man ,Do the Right Thing ,Young Adult ,That's My Boy 
570,570,The Kingdom ,Arbitrage ,Punisher: War Zone ,Do the Right Thing ,Dead Man Down ,Draft Day 
571,571,Talladega Nights: The Ballad of Ricky Bobby ,The Love Guru ,Blades of Glory ,Dumb & Dumber ,2 Fast 2 Furious ,You Don't Mess with the Zohan 
572,572,Dr. Dolittle 2 ,Daddy Day Care ,Paddington ,Stuart Little 2 ,The Flintstones ,The Haunted Mansion 
573,573,Braveheart ,Magnolia ,Argo ,10 Days in a Madhouse ,Do the Right Thing ,The Birth of a Nation 
574,574,Jarhead ,Windtalkers ,Flags of Our Fathers ,Green Zone ,Erin Brockovich ,Do the Right Thing 
575,575,The Simpsons Movie ,Dumb & Dumber ,Out Cold ,Meet the Spartans ,The Stepfather ,The Dukes of Hazzard 
576,576,The Majestic ,Do the Right Thing ,Return to Me ,You've Got Mail ,Keeping the Faith ,Big Miracle 
577,577,Driven ,Creed ,Lucky You ,Concussion ,The Love Guru ,The Emperor's Club 
578,578,Two Brothers ,Oceans ,The Greatest Show on Earth ,Pete's Dragon ,When the Game Stands Tall ,Max 
579,579,The Village ,The Sixth Sense ,Lady in the Water ,Signs ,Angels & Demons ,Unbreakable 
580,580,Doctor Dolittle ,The Flintstones ,Daddy Day Care ,How the Grinch Stole Christmas ,Alvin and the Chipmunks: The Squeakquel ,An American Carol 
581,581,Signs ,The Visit ,Dawn of the Crescent Moon ,Hulk ,The Stepfather ,The Sisterhood of Night 
582,582,Shrek 2 ,Shrek ,Shrek the Third ,Brave ,The Smurfs 2 ,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe "
583,583,Cars ,Cars 2 ,A Bug's Life ,Finding Nemo ,Toy Story 2 ,Bee Movie 
584,584,Runaway Bride ,Pretty Woman ,You've Got Mail ,Bride Wars ,My Best Friend's Wedding ,The Love Guru 
585,585,xXx ,Lara Croft: Tomb Raider ,The Wolverine ,GoldenEye ,"I, Robot ",Green Lantern 
586,586,The SpongeBob Movie: Sponge Out of Water ,Ice Age: Continental Drift ,Hop ,Paddington ,G-Force ,The Secret Life of Pets 
587,587,Ransom ,Edmond ,Runner Runner ,Killing Them Softly ,The Kingdom ,Eye See You 
588,588,Inglourious Basterds ,Django Unchained ,Saving Private Ryan ,Pulp Fiction ,August: Osage County ,The Help 
589,589,Hook ,Night at the Museum: Secret of the Tomb ,Night at the Museum ,The Croods ,Indiana Jones and the Temple of Doom ,Charlie and the Chocolate Factory 
590,590,Hercules ,Hercules ,The Legend of Hercules ,Wrath of the Titans ,The Wolverine ,Prince of Persia: The Sands of Time 
591,591,Die Hard 2 ,Die Hard with a Vengeance ,Face/Off ,The Siege ,Cliffhanger ,Patriot Games 
592,592,S.W.A.T. ,Lara Croft: Tomb Raider ,The Wolverine ,Premium Rush ,2 Fast 2 Furious ,"I, Robot "
593,593,Sleepy Hollow             ,The Messengers             ,Perception             ,Twisted             ,12 Monkeys             ,The Following             
594,594,Vanilla Sky ,"I, Robot ",Angels & Demons ,She's Out of My League ,The Da Vinci Code ,Cat People 
595,595,Lady in the Water ,Angels & Demons ,The Roommate ,The Da Vinci Code ,"I, Robot ",Signs 
596,596,AVP: Alien vs. Predator ,Aliens vs. Predator: Requiem ,Battlefield Earth ,Battle Los Angeles ,"I, Robot ",Cloverfield 
597,597,Alvin and the Chipmunks: The Squeakquel ,Alvin and the Chipmunks: Chipwrecked ,Alvin and the Chipmunks ,The Secret Life of Pets ,Paddington ,Daddy Day Care 
598,598,We Were Soldiers ,Windtalkers ,Red Tails ,Flags of Our Fathers ,Enemy at the Gates ,300: Rise of an Empire 
599,599,Olympus Has Fallen ,The Equalizer ,Elysium ,The Wolverine ,Unstoppable ,Training Day 
600,600,Star Trek: Insurrection ,Star Trek V: The Final Frontier ,Clockstoppers ,Star Trek VI: The Undiscovered Country ,Star Trek III: The Search for Spock ,Star Trek: First Contact 
601,601,Battle Los Angeles ,Battlefield Earth ,Independence Day: Resurgence ,John Carter ,Ender's Game ,Star Trek Into Darkness 
602,602,Big Fish ,The Help ,Apollo 13 ,The Social Network ,The Tree of Life ,The Terminal 
603,603,Wolf ,Arbitrage ,Do the Right Thing ,9½ Weeks ,Ghost Ship ,The Lost City 
604,604,War Horse ,The Help ,Blue Jasmine ,The Monuments Men ,The Aviator ,Creed 
605,605,The Monuments Men ,The Help ,St. Vincent ,Creed ,Blue Jasmine ,Bowfinger 
606,606,The Abyss ,Battlefield Earth ,The X Files ,The Cave ,The Stepfather ,Signs 
607,607,Wall Street: Money Never Sleeps ,Blue Jasmine ,My Sister's Keeper ,Finding Forrester ,The Internship ,Do the Right Thing 
608,608,Dracula Untold ,Underworld: Awakening ,The Book Thief ,Blue Jasmine ,Hotel Rwanda ,Queen of the Damned 
609,609,The Siege ,Die Hard with a Vengeance ,Face/Off ,Courage Under Fire ,The Devil's Own ,The Cold Light of Day 
610,610,Stardust ,Prince of Persia: The Sands of Time ,The Theory of Everything ,Big Fish ,Hotel Rwanda ,Chocolat 
611,611,Seven Years in Tibet ,Ben-Hur ,The Emperor's Club ,Hotel Rwanda ,Kundun ,Red Tails 
612,612,The Dilemma ,St. Vincent ,Bowfinger ,Larry Crowne ,Where the Heart Is ,The Switch 
613,613,Bad Company ,Ishtar ,Jason Bourne ,Clockstoppers ,I Spy ,Bulletproof Monk 
614,614,Doom ,Resident Evil ,Aliens vs. Predator: Requiem ,Event Horizon ,Ghost Ship ,Resident Evil: Afterlife 
615,615,I Spy ,Dante's Peak ,Anacondas: The Hunt for the Blood Orchid ,Bulletproof Monk ,Clockstoppers ,Big Momma's House 
616,616,Underworld: Awakening ,Abraham Lincoln: Vampire Hunter ,Blade ,Dracula Untold ,Hansel & Gretel: Witch Hunters ,Legion 
617,617,Rock of Ages ,How Do You Know ,A Lot Like Love ,Morning Glory ,Blue Jasmine ,Enough Said 
618,618,Hart's War ,The Messenger ,Windtalkers ,54 ,Flags of Our Fathers ,Do the Right Thing 
619,619,Killer Elite ,The Mechanic ,RocknRolla ,Run All Night ,War ,Harry Brown 
620,620,Rollerball ,Predator ,The Man with the Iron Fists ,Draft Day ,Keanu ,The Running Man 
621,621,Ballistic: Ecks vs. Sever ,The Art of War ,The Running Man ,Getaway ,The Last Stand ,The Hunted 
622,622,Hard Rain ,Knockaround Guys ,A Man Apart ,The Devil's Own ,Assault on Precinct 13 ,Get Carter 
623,623,Osmosis Jones ,G-Force ,Puss in Boots ,Bee Movie ,Hop ,Rugrats Go Wild 
624,624,Legends of Oz: Dorothy's Return ,Rugrats Go Wild ,Pete's Dragon ,Brave ,Happily N'Ever After ,Shrek the Third 
625,625,Blackhat ,Hackers ,Wild Things ,Rockaway ,Broken Horses ,The Frozen Ground 
626,626,Sky Captain and the World of Tomorrow ,Star Trek V: The Final Frontier ,Star Trek VI: The Undiscovered Country ,Star Trek III: The Search for Spock ,Star Trek: Generations ,"I, Robot "
627,627,Basic Instinct 2 ,Feardotcom ,Eye See You ,The Interpreter ,The Oxford Murders ,Witchboard 
628,628,Escape Plan ,Tango & Cash ,Face/Off ,Con Air ,Safe House ,Killing Them Softly 
629,629,The Legend of Hercules ,Hercules ,Hercules ,Battlefield Earth ,DragonHeart ,Driven 
630,630,The Sum of All Fears ,"I, Robot ",Clear and Present Danger ,Driven ,Patriot Games ,The Stepfather 
631,631,The Twilight Saga: Eclipse ,The Twilight Saga: New Moon ,The Twilight Saga: Breaking Dawn - Part 2 ,The Twilight Saga: Breaking Dawn - Part 2 ,Twilight ,Twilight 
632,632,The Score ,The Untouchables ,Cape Fear ,Mean Streets ,Casino ,Hide and Seek 
633,633,Despicable Me ,Despicable Me 2 ,The Secret Life of Pets ,Ice Age: Continental Drift ,Kung Fu Panda ,The Angry Birds Movie 
634,634,Money Train ,Striptease ,Beverly Hills Cop III ,Sweet Sweetback's Baadasssss Song ,The Glimmer Man ,The Perfect Host 
635,635,Ted 2 ,A Million Ways to Die in the West ,Movie 43 ,Bad Teacher ,Not Another Teen Movie ,The Change-Up 
636,636,Agora ,My Life Without Me ,Pompeii ,Things We Lost in the Fire ,Draft Day ,Do the Right Thing 
637,637,Mystery Men ,Bulletproof Monk ,The Love Guru ,Dumb & Dumber ,The Tuxedo ,Torque 
638,638,Hall Pass ,How to Be Single ,The Five-Year Engagement ,"Me, Myself & Irene ",She's Out of My League ,Say It Isn't So 
639,639,The Insider ,Erin Brockovich ,Do the Right Thing ,Margin Call ,Ali ,The Godfather: Part III 
640,640,The Finest Hours ,The Stepfather ,Shattered Glass ,Anacondas: The Hunt for the Blood Orchid ,I Am Sam ,Courageous 
641,641,Body of Lies ,Patriot Games ,Green Zone ,The Kingdom ,From Paris with Love ,The Untouchables 
642,642,Dinner for Schmucks ,Dumb & Dumber ,Bowfinger ,The Internship ,The Love Guru ,The Way Way Back 
643,643,Abraham Lincoln: Vampire Hunter ,Legion ,Underworld: Awakening ,Blade ,Spawn ,Vampires 
644,644,Entrapment ,The Fast and the Furious: Tokyo Drift ,The Stepfather ,One for the Money ,Speed 2: Cruise Control ,Cellular 
645,645,Last Man Standing             ,Meet the Browns             ,Fired Up             ,Rules of Engagement             ,It's Always Sunny in Philadelphia             ,Anger Management             
646,646,The X Files ,The X Files: I Want to Believe ,Frequency ,Atlas Shrugged II: The Strike ,The Stepfather ,The Abyss 
647,647,The Last Legion ,Krull ,The Cold Light of Day ,The Cave ,Licence to Kill ,Lara Croft: Tomb Raider 
648,648,Saving Private Ryan ,Apocalypse Now ,The Matrix ,Inglourious Basterds ,August: Osage County ,The Help 
649,649,Need for Speed ,Unstoppable ,The Losers ,Blue Jasmine ,2 Fast 2 Furious ,The Help 
650,650,What Women Want ,13 Going on 30 ,The Love Guru ,Liar Liar ,Dumb & Dumber ,The Internship 
651,651,Ice Age ,Bee Movie ,Brave ,Kung Fu Panda ,Wreck-It Ralph ,Ice Age: Continental Drift 
652,652,Dreamcatcher ,Aliens vs. Predator: Requiem ,Draft Day ,Arbitrage ,Elysium ,Instinct 
653,653,Lincoln ,The Social Network ,Bridge of Spies ,The Help ,Catch Me If You Can ,Invictus 
654,654,The Matrix ,The Matrix Reloaded ,Terminator 2: Judgment Day ,Blade Runner ,Elysium ,Aliens 
655,655,Apollo 13 ,The Right Stuff ,Big Fish ,Rocky Balboa ,Star Trek III: The Search for Spock ,The Help 
656,656,Total Recall ,Total Recall ,Starship Troopers ,Terminator 3: Rise of the Machines ,Ghost Ship ,Terminator 2: Judgment Day 
657,657,The Santa Clause 2 ,Daddy Day Care ,Alvin and the Chipmunks: Chipwrecked ,How the Grinch Stole Christmas ,The Muppet Christmas Carol ,Krampus 
658,658,Les Misérables ,The Help ,Creed ,Moonrise Kingdom ,Seven Pounds ,Eat Pray Love 
659,659,You've Got Mail ,Splash ,Bowfinger ,Where the Heart Is ,The Weather Man ,Return to Me 
660,660,Step Brothers ,Dumb & Dumber ,"Me, Myself & Irene ",She's Out of My League ,That's My Boy ,Semi-Pro 
661,661,The Mask of Zorro ,The Saint ,Lara Croft: Tomb Raider ,The Other Woman ,You Don't Mess with the Zohan ,Fool's Gold 
662,662,Due Date ,The Hangover ,Two Girls and a Guy ,Wonder Boys ,The Kids Are All Right ,Bowfinger 
663,663,Unbroken ,Unbroken ,The Blind Side ,Blue Jasmine ,Creed ,The Social Network 
664,664,Space Cowboys ,Firefox ,Star Trek: Nemesis ,Lara Croft: Tomb Raider ,The Wolverine ,Star Trek III: The Search for Spock 
665,665,Cliffhanger ,Patriot Games ,Tango & Cash ,Star Trek III: The Search for Spock ,Lara Croft: Tomb Raider ,Rambo III 
666,666,Broken Arrow ,The Running Man ,The November Man ,Tango & Cash ,The Fast and the Furious: Tokyo Drift ,The Stepfather 
667,667,The Kid ,Zookeeper ,Daddy Day Care ,The Flintstones ,Parental Guidance ,Cats & Dogs: The Revenge of Kitty Galore 
668,668,World Trade Center ,The Sum of All Fears ,Bringing Out the Dead ,Angels & Demons ,Shattered Glass ,Bowfinger 
669,669,Mona Lisa Smile ,The Great Debaters ,The Emperor's Club ,The Help ,St. Vincent ,The Roommate 
670,670,The Dictator ,The Interview ,"Me, Myself & Irene ",Bad Teacher ,Brüno ,21 & Over 
671,671,Eyes Wide Shut ,Magnolia ,Rain Man ,Collateral ,Coriolanus ,The Shining 
672,672,Annie ,The Odd Life of Timothy Green ,Daddy Day Care ,Parental Guidance ,Zookeeper ,The Truman Show 
673,673,Focus ,Bad Teacher ,How to Be Single ,Pain & Gain ,St. Vincent ,Larry Crowne 
674,674,This Means War ,The Other Woman ,The Internship ,Yes Man ,The Love Guru ,Last Vegas 
675,675,Blade: Trinity ,Blade ,Abraham Lincoln: Vampire Hunter ,Dracula 2000 ,Aliens vs. Predator: Requiem ,The Wolverine 
676,676,Red Dawn ,Dumb & Dumber ,Love & Basketball ,I Am Sam ,Windtalkers ,Red Tails 
677,677,Primary Colors ,Bad Words ,The Hoax ,Hanging Up ,Swing Vote ,Catch-22 
678,678,Resident Evil: Retribution ,Resident Evil: Afterlife ,Resident Evil ,Event Horizon ,Resident Evil: Apocalypse ,Elysium 
679,679,Death Race ,Face/Off ,The Running Man ,Angels & Demons ,Con Air ,"I, Robot "
680,680,The Long Kiss Goodnight ,Sicario ,Broken Horses ,Four Brothers ,Wild Things ,Breakdown 
681,681,Proof of Life ,Collateral Damage ,Arbitrage ,The Kingdom ,The Marine 4: Moving Target ,The Marine 
682,682,Zathura: A Space Adventure ,Journey to the Center of the Earth ,Atlantis: The Lost Empire ,G-Force ,Journey 2: The Mysterious Island ,Star Trek III: The Search for Spock 
683,683,Fight Club ,Casino ,The Social Network ,Shutter Island ,Magnolia ,Rain Man 
684,684,We Are Marshall ,Facing the Giants ,Gridiron Gang ,Glory Road ,Courage ,Radio 
685,685,The Missing             ,Unforgotten             ,Secrets and Lies             ,Perception             ,The Messengers             ,Twisted             
686,686,Hudson Hawk ,Strange Wilderness ,Not Another Teen Movie ,Tango & Cash ,What's Your Number? ,Keanu 
687,687,Lucky Numbers ,Say It Isn't So ,Serial Mom ,Let's Go to Prison ,3 Strikes ,Cecil B. DeMented 
688,688,"I, Frankenstein ",Skyline ,The Stepfather ,Ghost Rider: Spirit of Vengeance ,Into the Storm ,Priest 
689,689,Oliver Twist ,Mr. Turner ,The Young Messiah ,Me and Orson Welles ,The Stepfather ,Dear Frankie 
690,690,Elektra ,The Stepfather ,Torque ,The Losers ,Catwoman ,Mortal Kombat: Annihilation 
691,691,Sin City: A Dame to Kill For ,Desperado ,Killing Them Softly ,The Man with the Iron Fists ,The Last Stand ,The Equalizer 
692,692,Random Hearts ,A Home at the End of the World ,Edmond ,Draft Day ,54 ,Little Black Book 
693,693,Everest ,Concussion ,Selma ,Hotel Rwanda ,The Theory of Everything ,The Blind Side 
694,694,Perfume: The Story of a Murderer ,Mi America ,The Master ,Hard Candy ,Boyhood ,Mr. Turner 
695,695,Austin Powers in Goldmember ,Austin Powers: The Spy Who Shagged Me ,Dumb & Dumber ,Austin Powers: International Man of Mystery ,Hot Pursuit ,Kindergarten Cop 
696,696,Astro Boy ,The Pirates! Band of Misfits ,TMNT ,Mars Needs Moms ,The Angry Birds Movie ,Zathura: A Space Adventure 
697,697,Jurassic Park ,The Lost World: Jurassic Park ,Jurassic World ,Jurassic Park III ,War of the Worlds ,Transformers 
698,698,Wyatt Earp ,The Stepfather ,White Chicks ,The Right Stuff ,Torque ,The Birth of a Nation 
699,699,Clear and Present Danger ,Patriot Games ,The Sum of All Fears ,The Losers ,The Pelican Brief ,Salt 
700,700,Dragon Blade ,1911 ,Reign of Assassins ,Red Cliff ,The Warlords ,Three Kingdoms: Resurrection of the Dragon 
701,701,Littleman ,Dumb & Dumber ,White Chicks ,The Love Guru ,Torque ,The Internship 
702,702,U-571 ,Red Tails ,Windtalkers ,You Don't Mess with the Zohan ,The Sum of All Fears ,Driven 
703,703,The American President ,Diary of a Mad Black Woman ,Larry Crowne ,Keeping the Faith ,Little Black Book ,Morning Glory 
704,704,The Love Guru ,Peeples ,The Back-up Plan ,My Boss's Daughter ,She's Out of My League ,Because I Said So 
705,705,3000 Miles to Graceland ,Boiler Room ,Tango & Cash ,Not Another Teen Movie ,Keanu ,Takers 
706,706,The Hateful Eight ,Django Unchained ,Eye See You ,Casino ,Gone Girl ,Prisoners 
707,707,Blades of Glory ,The Love Guru ,Talladega Nights: The Ballad of Ricky Bobby ,Bowfinger ,Creed ,Dumb & Dumber 
708,708,Hop ,G-Force ,Free Birds ,Alvin and the Chipmunks ,Alvin and the Chipmunks: Chipwrecked ,Yogi Bear 
709,709,300 ,Fury ,Saving Private Ryan ,300: Rise of an Empire ,The Matrix ,The Green Mile 
710,710,Meet the Fockers ,Meet the Parents ,Little Fockers ,The Love Guru ,Dumb & Dumber ,Mr. Deeds 
711,711,Marley & Me ,The Odd Life of Timothy Green ,How the Grinch Stole Christmas ,Annie ,Daddy Day Care ,Because of Winn-Dixie 
712,712,The Green Mile ,The Shawshank Redemption ,Scarface ,Se7en ,Casino ,Big Fish 
713,713,Wild Hogs ,The Dukes of Hazzard ,Without a Paddle ,Dumb & Dumber ,Because I Said So ,Bulletproof Monk 
714,714,Chicken Little ,G-Force ,Space Chimps ,Monsters vs. Aliens ,Recess: School's Out ,The Emperor's New Groove 
715,715,Gone Girl ,Se7en ,Shutter Island ,Panic Room ,Changeling ,Broken Horses 
716,716,The Bourne Identity ,"I, Robot ",The Bourne Supremacy ,Angels & Demons ,The Da Vinci Code ,Lara Croft: Tomb Raider 
717,717,GoldenEye ,Tomorrow Never Dies ,Thunderball ,Quantum of Solace ,Octopussy ,A View to a Kill 
718,718,The General's Daughter ,The Salton Sea ,Annabelle ,Narc ,Identity ,Double Jeopardy 
719,719,The Truman Show ,Spaceballs ,Back to the Future Part II ,Dumb & Dumber ,Return to Me ,The Hundred-Foot Journey 
720,720,The Prince of Egypt ,The Spiderwick Chronicles ,Pete's Dragon ,Rise of the Guardians ,Hop ,G-Force 
721,721,Daddy Day Care ,Zookeeper ,The Flintstones ,The Perfect Man ,The Cat in the Hat ,A Cinderella Story 
722,722,2 Guns ,Punisher: War Zone ,Tango & Cash ,Pain & Gain ,Bad Boys II ,Contraband 
723,723,Cats & Dogs ,Cats & Dogs: The Revenge of Kitty Galore ,G-Force ,The Kid ,Son of the Mask ,Garfield 
724,724,The Italian Job ,Takers ,Ocean's Thirteen ,The Fast and the Furious: Tokyo Drift ,2 Fast 2 Furious ,Fast Five 
725,725,Two Weeks Notice ,The Love Guru ,Dumb & Dumber ,Must Love Dogs ,Sweet Home Alabama ,The Other Woman 
726,726,Antz ,Bee Movie ,Ice Age: Continental Drift ,Penguins of Madagascar ,The SpongeBob SquarePants Movie ,Bolt 
727,727,Couples Retreat ,The Love Guru ,Bowfinger ,Dumb & Dumber ,Love the Coopers ,"Legally Blonde 2: Red, White & Blonde "
728,728,Days of Thunder ,Driven ,The Color of Money ,Unstoppable ,Gridiron Gang ,Larry Crowne 
729,729,Cheaper by the Dozen 2 ,Daddy Day Care ,Are We There Yet? ,The Kid ,Cheaper by the Dozen ,Christmas with the Kranks 
730,730,The Scorch Trials ,The Maze Runner ,The Host ,Aliens vs. Predator: Requiem ,Skyline ,The Wolverine 
731,731,Eat Pray Love ,The Help ,St. Vincent ,Seven Pounds ,The Age of Adaline ,Hope Springs 
732,732,The Family Man ,Scrooged ,13 Going on 30 ,Click ,Where the Heart Is ,Mr. Deeds 
733,733,RED ,RED 2 ,St. Vincent ,Premium Rush ,Unstoppable ,The Cold Light of Day 
734,734,Any Given Sunday ,Do the Right Thing ,The Godfather: Part III ,The Insider ,Erin Brockovich ,Creed 
735,735,The Horse Whisperer ,Message in a Bottle ,Larry Crowne ,For Love of the Game ,Where the Heart Is ,Bowfinger 
736,736,Collateral ,A Few Good Men ,The Insider ,Panic Room ,The Untouchables ,Erin Brockovich 
737,737,The Scorpion King ,Lara Croft: Tomb Raider ,The Mummy Returns ,Ghost Rider ,Ghost Rider: Spirit of Vengeance ,The Forbidden Kingdom 
738,738,Ladder 49 ,The Marine ,The Roommate ,The Cold Light of Day ,The Stepfather ,The Sum of All Fears 
